地层名称,所属层位,顶界所处位置（0~1）,底界所处位置（0~1）,最小深度,最大深度,平均深度,出现次数
吴家坪,吴家坪,0.583369,1.0,4069.0,6975.0,5522.0,40
飞仙关组,飞仙关~大隆,0.511242,1.0,3166.12,6193.0,4679.5599999999995,11
须家河组,须家河,0.31616,1.0,1001.0,3166.12,2083.56,14
须四段,未知,0.656422,1.0,1794.0,2733.0,2263.5,2
雷口坡组,雷口坡~嘉陵江,0.39688,1.0,1507.35,3798.0,2652.675,15
飞三段,未知,0.594058,1.0,3379.0,5688.0,4533.5,11
吴家坪组,吴家坪,0.583369,1.0,4069.0,6975.0,5522.0,34
嘉四段,雷口坡~嘉陵江,0.870978,1.0,2882.18,3309.13,3095.6549999999997,2
大隆组,飞仙关~大隆,0.824027,1.0,4088.0,4961.0,4524.5,7
嘉二1段,未知,0.776777,1.0,3365.0,4332.0,3848.5,4
须一段,未知,0.883712,1.0,2333.0,2640.0,2486.5,1
飞三,未知,0.594058,1.0,3379.0,5688.0,4533.5,12
嘉二2段,未知,0.922497,1.0,3386.67,3671.2,3528.935,2
沙溪庙zu,未知,0.189091,1.0,52.0,275.0,163.5,1
嘉三段,雷口坡~嘉陵江,0.88239,1.0,3187.06,3611.85,3399.455,3
沙二段,未知,0.0,1.0,0.0,1890.0,945.0,11
飞一段,未知,0.522982,1.0,3513.0,6717.25,5115.125,7
须六段,未知,0.602888,1.0,1642.87,2725.0,2183.935,4
嘉一段,雷口坡~嘉陵江,0.824305,1.0,3378.0,4098.0,3738.0,3
雷五段,未知,0.675652,1.0,2306.0,3413.0,2859.5,4
嘉陵江组,未知,0.62348,1.0,2666.0,4276.0,3471.0,7
沙一段,未知,0.882999,1.0,4098.0,4641.0,4369.5,1
嘉五2段,未知,0.712743,1.0,2640.0,3704.0,3172.0,3
嘉一,雷口坡~嘉陵江,0.646657,1.0,2650.0,4098.0,3374.0,6
凉上段,未知,0.415359,1.0,1006.0,2422.0,1714.0,3
凉下段,未知,0.712433,1.0,1642.87,2306.0,1974.435,1
自流井组,自流井,0.231329,1.0,521.0,2252.2,1386.6,1
沙溪庙组,沙溪庙,0.0,1.0,0.0,2709.0,1354.5,35
沙溪庙,沙溪庙,0.0,1.0,0.0,2709.0,1354.5,36
雷一1段,未知,0.886206,1.0,2422.0,2733.0,2577.5,1
嘉二3段,未知,0.64988,1.0,2697.0,4150.0,3423.5,16
